2022 Utility Bundled Retail Sales- Commercial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
East-Central Iowa Rural Elec Coop;IA;Cooperative;1.153;56.609;5.523,0;9,76
Eastern Iowa Light & Power Coop;IA;Cooperative;2.997;77.899;8.907,4;11,43
Heartland Power Coop;IA;Cooperative;937;44.493;4.692,7;10,55
Interstate Power and Light Co;IA;Investor Owned;85.507;4.082.352;549.442,0;13,46
Iowa Lakes Electric Coop;IA;Cooperative;3.415;132.485;14.852,5;11,21
Linn County REC;IA;Cooperative;4.057;51.011;6.717,0;13,17
Maquoketa Valley Rrl Elec Coop;IA;Cooperative;5.977;159.632;17.234,7;10,80
MiEnergy Cooperative;IA;Cooperative;1.228;81.158;9.261,7;11,41
MidAmerican Energy Co;IA;Investor Owned;99.312;5.001.796;438.457,6;8,77
Midland Power Coop;IA;Cooperative;598;62.954;6.605,0;10,49
North West Rural Electric Coop;IA;Cooperative;900;416.056;27.623,1;6,64
Prairie Energy Coop;IA;Cooperative;89;128;15,3;11,95
Avista Corp;ID;Investor Owned;19.015;1.050.039;97.505,0;9,29
City of Idaho Falls - (ID);ID;Municipal;4.532;368.321;26.119,7;7,09
Fall River Rural Elec Coop Inc;ID;Cooperative;2.623;117.834;8.627,0;7,32
Idaho Power Co;ID;Investor Owned;73.044;4.154.032;335.895,9;8,09
Inland Power & Light Company;ID;Cooperative;151;4.493;397,0;8,84
Kootenai Electric Cooperative;ID;Cooperative;2.420;146.289;14.276,6;9,76
Lower Valley Energy Inc;ID;Cooperative;365;5.024;368,0;7,32
Missoula Electric Coop, Inc;ID;Cooperative;24;782;72,5;9,27
Northern Lights, Inc;ID;Cooperative;1.024;51.551;5.732,0;11,12
PacifiCorp;ID;Investor Owned;10.092;535.750;49.218,4;9,19
Raft Rural Elec Coop Inc;ID;Cooperative;401;71.333;3.812,0;5,34
Salmon River Electric Coop Inc;ID;Cooperative;466;21.293;1.548,0;7,27
United Electric Co-op, Inc - (ID);ID;Cooperative;1.149;70.539;4.257,0;6,03
Ameren Illinois Company;IL;Investor Owned;74.687;3.048.860;445.324,0;14,61
City of Batavia - (IL);IL;Municipal;1.291;141.492;16.606,0;11,74
City of Geneva- (IL);IL;Municipal;1.404;129.397;12.108,0;9,36
City of Naperville - (IL);IL;Municipal;6.763;670.062;69.500,4;10,37
City of Peru - (IL);IL;Municipal;1.165;97.228;10.504,0;10,80
City of Springfield - (IL);IL;Municipal;11.695;911.894;120.658,7;13,23
City of St Charles - (IL);IL;Municipal;2.244;177.318;23.056,8;13,00
Coles-Moultrie Electric Coop;IL;Cooperative;1.125;50.955;6.714,0;13,18
Commonwealth Edison Co;IL;Investor Owned;235.147;8.445.118;1.170.613,8;13,86
Corn Belt Energy Corporation;IL;Cooperative;2.379;174.855;21.831,0;12,49
Eastern Illinois Elec Coop;IL;Cooperative;2.344;50.660;7.184,0;14,18
Egyptian Electric Coop Assn;IL;Cooperative;1.696;127.457;13.855,5;10,87
Jo-Carroll Energy, Inc;IL;Cooperative;2.802;95.372;13.660,8;14,32
Menard Electric Coop;IL;Cooperative;592;29.669;4.408,2;14,86
MidAmerican Energy Co;IL;Investor Owned;11.383;575.445;46.773,2;8,13
Mt Carmel Public Utility Co;IL;Investor Owned;812;15.169;2.576,0;16,98
Norris Electric Coop;IL;Cooperative;2.194;86.063;9.915,0;11,52
Rochelle Municipal Utilities;IL;Municipal;1.023;40.244;4.893,0;12,16
Rock Energy Cooperative;IL;Cooperative;1.018;88.918;9.840,0;11,07
Shelby Electric Coop, Inc;IL;Cooperative;157;28.623;3.577,8;12,50
Southeastern IL Elec Coop, Inc;IL;Cooperative;2.379;85.077;10.820,0;12,72
Southwestern Electric Coop Inc - (IL);IL;Cooperative;443;99.457;11.854,3;11,92
Tri-County Electric Coop, Inc (IL);IL;Cooperative;353;34.277;4.036,4;11,78
Wayne-White Counties Elec Coop;IL;Cooperative;1.524;83.321;9.254,3;11,11
Bartholomew County Rural E M C;IN;Cooperative;710;46.900;5.926,8;12,64
Boone County Rural EMC;IN;Cooperative;512;206.855;22.867,0;11,05
Carroll-White REMC;IN;Cooperative;321;100.403;10.900,0;10,86
City of Anderson - (IN);IN;Municipal;4.276;277.476;28.585,7;10,30
City of Auburn - (IN);IN;Municipal;900;25.452;3.036,2;11,93
City of Bluffton - (IN);IN;Municipal;995;31.839;3.204,0;10,06
City of Frankfort - (IN);IN;Municipal;1.584;58.488;6.145,0;10,51
City of Greenfield - (IN);IN;Municipal;970;92.978;9.363,0;10,07
City of Jasper - (IN);IN;Municipal;1.244;107.635;10.310,4;9,58
City of Lebanon - (IN);IN;Municipal;1.057;27.766;4.121,9;14,85
City of Logansport - (IN);IN;Municipal;1.476;72.594;6.906,4;9,51
City of Mishawaka;IN;Municipal;3.781;361.565;37.263,2;10,31
City of Peru - (IN);IN;Municipal;1.587;72.957;7.574,0;10,38
City of Richmond - (IN);IN;Municipal;4.876;169.426;20.077,7;11,85
Clark County Rural E M C - (IN);IN;Cooperative;1.290;68.829;7.782,3;11,31
Crawfordsville Elec, Lgt & Pwr;IN;Municipal;1.496;44.844;5.256,0;11,72
Daviess Martin County R E M C;IN;Cooperative;583;36.092;4.553,0;12,61
Decatur County Rural E M C;IN;Cooperative;210;33.835;3.732,0;11,03
Dubois Rural Electric Coop Inc;IN;Cooperative;953;18.984;2.328,0;12,26
Duke Energy Indiana, LLC;IN;Investor Owned;108.288;8.317.947;1.049.697,2;12,62
Greenbacker Renewable Energy Corporation;IN;Behind the Meter;4;1.712;530,1;30,96
Harrison County Rural E M C;IN;Cooperative;1.400;82.709;9.496,9;11,48
Heartland REMC;IN;Cooperative;449;167.602;19.998,0;11,93
Hendricks County Rural E M C;IN;Cooperative;964;289.850;29.421,4;10,15
Indiana Michigan Power Co;IN;Investor Owned;55.873;3.978.163;472.095,0;11,87
Indianapolis Power & Light Co;IN;Investor Owned;55.253;1.839.646;247.884,0;13,47
Jackson County Rural E M C - (IN);IN;Cooperative;1.137;48.832;5.636,0;11,54
Jasper County Rural E M C;IN;Cooperative;923;115.609;12.853,3;11,12
Johnson County Rural E M C;IN;Cooperative;3.001;110.878;11.903,6;10,74
Kankakee Valley Rural E M C;IN;Cooperative;2.532;50.909;7.315,4;14,37
Midwest Energy Cooperative;IN;Cooperative;57;1.748;325,7;18,63
NineStar Connect;IN;Cooperative;1.289;42.856;5.500,0;12,83
Noble County R E M C;IN;Cooperative;541;18.329;2.233,6;12,19
Northeastern Rural E M C;IN;Cooperative;2.650;192.858;23.502,3;12,19
Northern Indiana Pub Serv Co;IN;Investor Owned;59.087;3.759.341;584.423,1;15,55
Paulding-Putman Elec Coop, Inc;IN;Cooperative;202;14.829;1.880,5;12,68
RushShelby Energy;IN;Cooperative;259;49.552;5.948,0;12,00
South Central Indiana REMC;IN;Cooperative;556;56.425;6.458,0;11,45
Southeastern Indiana R E M C;IN;Cooperative;2.227;74.357;9.633,0;12,96
Southern Indiana Gas & Elec Co;IN;Investor Owned;19.187;1.226.307;174.479,9;14,23
Southern Indiana R E C, Inc;IN;Cooperative;621;31.234;3.844,0;12,31
Tipmont Rural Elec Member Corp;IN;Cooperative;1.931;121.140;15.079,6;12,45
Utilities Dist-Western IN REMC;IN;Cooperative;1.035;41.550;5.648,6;13,59
Western Indiana Energy REMC;IN;Cooperative;2.318;114.340;12.880,6;11,27
Whitewater Valley Rural EMC;IN;Cooperative;192;36.032;4.144,0;11,50
Alfalfa Electric Coop, Inc;KS;Cooperative;701;5.509;874,0;15,86
CMS Electric Coop Inc;KS;Cooperative;2.598;92.617;14.424,7;15,57
City of Chanute;KS;Municipal;935;44.538;4.709,0;10,57
City of Coffeyville - (KS);KS;Municipal;992;62.610;8.039,2;12,84
City of Garden City;KS;Municipal;1.098;95.000;8.625,6;9,08
City of Kansas City - (KS);KS;Municipal;7.068;1.091.207;126.121,0;11,56
City of McPherson - (KS);KS;Municipal;1.478;106.008;9.718,0;9,17
City of Winfield - (KS);KS;Municipal;779;77.951;11.648,0;14,94
Empire District Electric Co;KS;Investor Owned;1.460;58.691;8.410,5;14,33
Evergy Kansas Central, Inc;KS;Investor Owned;54.386;4.175.294;473.313,0;11,34
Evergy Kansas South, Inc;KS;Investor Owned;40.892;3.159.979;365.708,5;11,57
Evergy Metro;KS;Investor Owned;31.314;3.265.656;344.605,9;10,55
FreeState Electric Coop;KS;Cooperative;1.458;37.437;5.518,0;14,74
Midwest Energy Inc;KS;Cooperative;13.389;364.816;42.432,3;11,63
Pioneer Electric Coop, Inc - (KS);KS;Cooperative;10.954;315.121;35.210,0;11,17
Prairie Land Electric Coop Inc;KS;Cooperative;8.943;180.680;24.338,4;13,47
Southern Pioneer Electric Company;KS;Cooperative;4.389;154.647;24.758,0;16,01
Tri-County Electric Coop, Inc (OK);KS;Cooperative;447;9.246;1.621,1;17,53
Victory Electric Coop Assn Inc;KS;Cooperative;3.765;216.547;24.602,0;11,36
Western Coop Electric Assn Inc;KS;Cooperative;5.828;251.626;29.253,2;11,63
Wheatland Electric Coop, Inc;KS;Cooperative;11.098;493.374;57.875,0;11,73
Big Sandy Rural Elec Coop Corp;KY;Cooperative;1.043;34.396;4.338,0;12,61
Blue Grass Energy Coop Corp;KY;Cooperative;3.094;171.890;21.596,0;12,56
City of Bardstown - (KY);KY;Municipal;1.241;55.284;5.588,0;10,11
City of Benton - (KY);KY;Municipal;681;31.809;4.107,0;12,91
City of Berea Municipal Utility;KY;Municipal;586;21.834;1.892,2;8,67
City of Bowling Green - (KY);KY;Municipal;5.319;451.701;49.888,0;11,04
City of Frankfort - (KY);KY;Municipal;4.227;113.553;11.609,0;10,22
City of Franklin - (KY);KY;Municipal;1.193;47.419;6.262,0;13,21
City of Fulton - (KY);KY;Municipal;423;20.350;2.584,0;12,70
City of Glasgow - (KY);KY;Municipal;1.887;146.184;17.513,0;11,98
City of Hickman;KY;Municipal;234;6.408;1.152,0;17,98
City of Hopkinsville;KY;Municipal;2.988;121.559;15.673,0;12,89
City of Jellico;KY;Municipal;354;5.503;778,0;14,14
City of Mayfield Plant Board;KY;Municipal;812;57.967;7.365,0;12,71
City of Murray - (KY);KY;Municipal;1.773;149.199;16.680,0;11,18
City of Owensboro - (KY);KY;Municipal;3.142;263.840;23.206,4;8,80
City of Paducah - (KY);KY;Municipal;3.746;309.657;45.273,3;14,62
City of Russellville - (KY);KY;Municipal;858;42.752;5.339,0;12,49
Clark Energy Coop Inc - (KY);KY;Cooperative;2.010;85.703;11.281,0;13,16
Cumberland Valley Electric, Inc.;KY;Cooperative;1.599;114.074;9.902,0;8,68
Duke Energy Kentucky;KY;Investor Owned;14.496;1.703.334;186.082,5;10,92
Farmers Rural Electric Coop Corp - (KY);KY;Cooperative;1.847;76.639;9.378,0;12,24
Fleming-Mason Energy Coop Inc;KY;Cooperative;2.061;129.859;13.662,0;10,52
Gibson Electric Members Corp;KY;Cooperative;874;26.904;3.420,0;12,71
Grayson Rural Electric Coop Corp;KY;Cooperative;1.173;96.176;10.414,0;10,83
Henderson City Utility Comm;KY;Municipal;1.621;107.169;8.485,5;7,92
Inter County Energy Coop Corp;KY;Cooperative;1.305;58.419;7.167,0;12,27
Jackson Energy Coop Corp - (KY);KY;Cooperative;3.756;149.300;18.473,0;12,37
Jackson Purchase Energy Corporation;KY;Cooperative;4.874;356.154;36.528,3;10,26
Kenergy Corp;KY;Cooperative;11.917;299.321;40.495,0;13,53
Kentucky Power Co;KY;Investor Owned;30.516;1.354.324;198.219,0;14,64
Kentucky Utilities Co;KY;Investor Owned;93.887;5.464.239;660.341,7;12,08
Licking Valley Rural E C C;KY;Cooperative;1.085;41.620;5.453,0;13,10
Louisville Gas & Electric Co;KY;Investor Owned;51.845;4.683.629;524.479,0;11,20
Madisonville Municipal Utils;KY;Municipal;1.509;179.099;16.359,0;9,13
Meade County Rural E C C;KY;Cooperative;2.162;113.578;15.977,2;14,07
Nolin Rural Electric Coop Corp;KY;Cooperative;2.176;107.487;12.416,0;11,55
Owen Electric Coop Inc;KY;Cooperative;2.651;209.918;23.337,0;11,12
Pennyrile Rural Electric Coop;KY;Cooperative;5.973;309.104;41.364,0;13,38
Salt River Electric Coop Corp;KY;Cooperative;3.521;256.383;28.106,0;10,96
Shelby Energy Co-op, Inc;KY;Cooperative;577;92.056;9.645,0;10,48
South Kentucky Rural E C C;KY;Cooperative;5.768;85.489;12.847,5;15,03
Taylor County Rural E C C;KY;Cooperative;3.311;130.785;14.392,0;11,00
Tennessee Valley Authority;KY;Federal;7;283.093;22.570,3;7,97
Tri-County Elec Member Corp (TN);KY;Cooperative;5.580;355.834;37.085,0;10,42
Warren Rural Elec Coop Corp;KY;Cooperative;13.705;437.368;56.757,0;12,98
West Kentucky Rural E C C;KY;Cooperative;8.260;188.129;28.157,0;14,97
Beauregard Electric Coop, Inc;LA;Cooperative;4.298;168.036;19.836,0;11,80
City of Alexandria - (LA);LA;Municipal;3.388;369.111;42.470,0;11,51
City of Lafayette - (LA);LA;Municipal;12.091;1.130.261;120.293,0;10,64
City of Natchitoches;LA;Municipal;1.240;106.418;12.867,4;12,09
City of Ruston - (LA);LA;Municipal;1.907;170.754;5.146,0;3,01
Claiborne Electric Coop, Inc;LA;Cooperative;2.512;78.766;8.862,0;11,25
Cleco Power LLC;LA;Investor Owned;42.371;2.795.059;389.404,0;13,93
Concordia Electric Coop, Inc;LA;Cooperative;1.753;48.142;7.113,0;14,78
Dixie Electric Membership Corp;LA;Cooperative;7.651;207.410;30.570,4;14,74
Entergy Louisiana LLC;LA;Investor Owned;141.454;11.724.387;1.369.575,6;11,68
Entergy New Orleans, LLC;LA;Investor Owned;19.496;2.857.439;337.088,2;11,80
Jefferson Davis Elec Coop, Inc;LA;Cooperative;1.480;43.625;5.612,0;12,86
Northeast Louisiana Power Coop Inc.;LA;Cooperative;3.278;70.191;9.247,0;13,17
Panola-Harrison Elec Coop, Inc;LA;Cooperative;895;23.460;3.234,7;13,79
Pointe Coupee Elec Member Corp;LA;Cooperative;2.401;49.513;6.764,0;13,66
South Louisiana Elec Coop Assn;LA;Cooperative;4.287;182.212;22.014,9;12,08
Southwest Louisiana E M C;LA;Cooperative;8.714;494.318;58.811,9;11,90
Southwestern Electric Power Co;LA;Investor Owned;25.515;2.316.647;275.695,5;11,90
Terrebonne Parish Consol Gov't;LA;Municipal;3.041;140.989;18.462,5;13,09
Washington-St Tammany E C, Inc;LA;Cooperative;4.398;222.862;23.653,8;10,61
Ahana Renewables, LLC;MA;Behind the Meter;6;1.014;130,0;12,82
City of Chicopee - (MA);MA;Municipal;2.772;128.032;21.012,7;16,41
City of Holyoke - (MA);MA;Municipal;2.890;232.144;29.694,0;12,79
City of Norwood - (MA);MA;Municipal;1.909;101.585;19.654,0;19,35
City of Peabody - (MA);MA;Municipal;2.572;23.484;3.814,2;16,24
City of Taunton;MA;Municipal;4.367;138.791;26.382,0;19,01
City of Westfield - (MA);MA;Municipal;2.048;105.973;19.422,4;18,33
Constellation Solar Holding, LLC;MA;Behind the Meter;3;3.388;396,9;11,71
Fitchburg Gas & Elec Light Co;MA;Investor Owned;3.098;35.882;10.240,7;28,54
Greenbacker Renewable Energy Corporation;MA;Behind the Meter;19;16.693;2.556,8;15,32
Greenskies Renewable Energy, LLC;MA;Behind the Meter;1;28.151;1.748,0;6,21
Longroad Energy;MA;Behind the Meter;8;3.947;695,7;17,63
Massachusetts Electric Co;MA;Investor Owned;66.685;1.409.079;209.868,0;14,89
NSTAR Electric Company;MA;Investor Owned;54.204;1.321.869;328.520,0;24,85
Nantucket Electric Co;MA;Investor Owned;262;3.352;877,9;26,19
TerraForm US Energy Services, LLC;MA;Behind the Meter;25;18.264;2.037,0;11,15
Tesla Inc.;MA;Behind the Meter;25;5.066;657,0;12,97
Town of Braintree - (MA);MA;Municipal;2.727;185.733;29.327,0;15,79
Town of Danvers;MA;Municipal;1.551;30.884;4.880,8;15,80
Town of Hudson - (MA);MA;Municipal;1.800;42.022;4.158,7;9,90
Town of Littleton - (MA);MA;Municipal;785;37.905;5.500,7;14,51
Town of Mansfield - (MA);MA;Municipal;895;20.236;3.087,9;15,26
Town of Middleborough - (MA);MA;Municipal;2.601;117.087;16.388,0;14,00
Town of North Attleborough - (MA);MA;Municipal;1.122;20.821;3.466,9;16,65
Town of Reading - (MA);MA;Municipal;2.408;390.147;53.088,0;13,61
Town of Shrewsbury - (MA);MA;Municipal;1.167;44.314;6.022,0;13,59
Town of Sterling - (MA);MA;Municipal;346;14.536;2.299,0;15,82
Town of Wellesley - (MA);MA;Municipal;1.209;91.674;13.314,5;14,52
A & N Electric Coop;MD;Cooperative;42;606;79,8;13,17
Baltimore Gas & Electric Co;MD;Investor Owned;74.283;3.012.620;505.787,3;16,79
Choptank Electric Cooperative, Inc;MD;Cooperative;5.912;227.630;33.352,0;14,65
Constellation Solar Holding, LLC;MD;Behind the Meter;15;14.199;973,2;6,85
Delmarva Power;MD;Investor Owned;17.538;444.826;82.701,3;18,59
Easton Utilities Comm;MD;Municipal;2.408;134.961;18.085,5;13,40
Greenbacker Renewable Energy Corporation;MD;Behind the Meter;1;226;22,6;10,00
Hagerstown Light Department;MD;Municipal;2.571;88.514;6.935,6;7,84
Longroad Energy;MD;Behind the Meter;28;6.416;807,8;12,59
Potomac Electric Power Co;MD;Investor Owned;31.537;1.610.570;275.108,7;17,08
Southern Maryland Elec Coop Inc;MD;Cooperative;15.661;1.231.344;161.479,9;13,11
TerraForm US Energy Services, LLC;MD;Behind the Meter;7;3.137;370,0;11,79
Tesla Inc.;MD;Behind the Meter;148;25.241;1.403,0;5,56
The Potomac Edison Company;MD;Investor Owned;21.038;593.857;91.491,0;15,41
Central Maine Power Co;ME;Investor Owned;52.046;1.226.990;236.033,0;19,24
Eastern Maine Electric Coop;ME;Cooperative;2.310;23.335;3.518,8;15,08
Houlton Water Company;ME;Municipal;1.509;21.012;2.315,0;11,02
Tesla Inc.;ME;Behind the Meter;4;1.365;160,0;11,72
Town of Madison - (ME);ME;Municipal;250;11.421;874,0;7,65
Versant Power;ME;Investor Owned;23.586;488.126;77.547,0;15,89
Alger-Delta Coop Electric Assn;MI;Cooperative;549;16.234;2.459,0;15,15
Alpena Power Co;MI;Investor Owned;2.940;92.522;11.387,1;12,31
Cherryland Electric Coop Inc;MI;Cooperative;3.102;122.327;13.700,9;11,20
City of Bay City - (MI);MI;Municipal;2.222;129.258;19.312,0;14,94
City of Crystal Falls;MI;Municipal;246;9.474;1.426,0;15,05
City of Gladstone;MI;Municipal;342;14.058;1.727,8;12,29
City of Grand Haven - (MI);MI;Municipal;1.727;86.972;11.369,8;13,07
City of Holland;MI;Municipal;4.526;319.607;31.722,0;9,93
City of Lansing - (MI);MI;Municipal;12.149;1.101.975;145.003,0;13,16
City of Marquette - (MI);MI;Municipal;2.101;170.189;28.670,2;16,85
City of Negaunee;MI;Municipal;275;9.906;1.332,6;13,45
City of Norway;MI;Municipal;248;8.995;1.307,5;14,54
City of Sturgis;MI;Municipal;995;34.826;6.114,2;17,56
City of Traverse City - (MI);MI;Municipal;3.025;150.482;16.689,0;11,09
City of Zeeland - (MI);MI;Municipal;982;52.746;5.019,8;9,52
Cloverland Electric Co-op;MI;Cooperative;7.498;287.588;32.611,6;11,34
Coldwater Board of Public Util;MI;Municipal;1.393;41.352;5.671,0;13,71
Consumers Energy Co;MI;Investor Owned;228.135;11.817.172;1.615.145,1;13,67
DTE Electric Company;MI;Investor Owned;208.758;16.500.656;2.019.207,0;12,24
Great Lakes Energy Coop;MI;Cooperative;11.065;184.234;27.458,9;14,90
Indiana Michigan Power Co;MI;Investor Owned;18.647;767.758;100.295,0;13,06
Midwest Energy Cooperative;MI;Cooperative;6.219;227.036;38.833,9;17,10
Northern States Power Co;MI;Investor Owned;1.332;48.241;6.400,4;13,27
Presque Isle Elec & Gas Coop;MI;Cooperative;2.059;52.254;6.491,9;12,42
Tri-County Electric Coop (MI);MI;Cooperative;3.787;51.670;8.894,4;17,21
Upper Michigan Energy Resources Corp.;MI;Investor Owned;3.948;129.042;21.446,6;16,62
Upper Peninsula Power Company;MI;Investor Owned;6.096;135.582;25.221,6;18,60
Village of Baraga - (MI);MI;Municipal;220;14.947;1.986,3;13,29
Village of L'Anse - (MI);MI;Municipal;192;6.972;1.118,5;16,04
Wyandotte Municipal Serv Comm;MI;Municipal;1.086;67.976;8.340,9;12,27
ALLETE, Inc.;MN;Investor Owned;24.846;1.234.370;168.274,3;13,63
Agralite Electric Coop;MN;Cooperative;295;89.255;6.663,9;7,47
BENCO Electric Cooperative;MN;Cooperative;1.530;103.807;13.108,0;12,63
Beltrami Electric Coop, Inc;MN;Cooperative;1.608;97.511;10.068,0;10,32
City of Alexandria - (MN);MN;Municipal;1.720;35.225;3.756,7;10,66
City of Anoka;MN;Municipal;1.332;88.672;10.390,0;11,72
City of Austin - (MN);MN;Municipal;1.210;118.846;13.335,0;11,22
City of Chaska - (MN);MN;Municipal;985;191.492;24.923,6;13,02
City of Elk River;MN;Municipal;1.429;28.413;4.152,0;14,61
City of Lake Crystal - (MN);MN;Municipal;177;7.784;1.351,8;17,37
City of Marshall - (MN);MN;Municipal;950;84.910;6.986,0;8,23
City of Moorhead - (MN);MN;Municipal;1.909;33.448;3.751,9;11,22
City of Owatonna - (MN);MN;Municipal;1.006;57.029;6.170,2;10,82
City of Worthington - (MN);MN;Municipal;866;64.170;6.456,8;10,06
Connexus Energy;MN;Cooperative;11.846;626.230;67.300,9;10,75
Crow Wing Cooperative Power & Light Comp;MN;Cooperative;2.871;152.836;16.022,6;10,48
Dakota Electric Association;MN;Cooperative;8.111;882.340;79.843,0;9,05
East Central Energy;MN;Cooperative;6.203;249.041;29.380,4;11,80
Federated Rural Electric Assn;MN;Cooperative;1.241;76.962;8.144,0;10,58
Freeborn Mower Electric Cooperative;MN;Cooperative;3.334;142.875;17.722,0;12,40
Hutchinson Utilities Comm;MN;Municipal;996;101.881;9.616,0;9,44
Itasca-Mantrap Co-op Electrical Assn;MN;Cooperative;1.061;21.091;2.609,1;12,37
Lake Country Power;MN;Cooperative;4.125;125.856;17.536,5;13,93
Lake Region Electric Cooperative - (MN);MN;Cooperative;2.086;105.897;10.356,1;9,78
Meeker Coop Light & Power Assn;MN;Cooperative;670;34.649;3.753,3;10,83
MiEnergy Cooperative;MN;Cooperative;1.074;71.719;8.475,6;11,82
Mille Lacs Energy Cooperative;MN;Cooperative;1.295;38.131;4.727,8;12,40
Minnesota Valley Coop L&P Assn;MN;Cooperative;334;19.865;2.215,0;11,15
Minnesota Valley Electric Coop;MN;Cooperative;4.153;379.239;35.154,0;9,27
Northern States Power Co - Minnesota;MN;Investor Owned;143.021;12.638.135;1.675.272,9;13,26
Northwestern Wisconsin Elec Co;MN;Investor Owned;28;185;30,0;16,22
Otter Tail Power Co;MN;Investor Owned;13.154;1.047.325;103.106,1;9,84
People's Cooperative Services;MN;Cooperative;2.162;83.387;10.904,6;13,08
Rochester Public Utilities;MN;Municipal;5.134;674.644;80.783,4;11,97
Runestone Electric Assn;MN;Cooperative;795;23.363;2.846,0;12,18
Shakopee Public Utilities Comm;MN;Municipal;1.332;11.375;1.727,0;15,18
Sioux Valley SW Elec Coop;MN;Cooperative;404;6.942;998,8;14,39
South Central Electric Assn;MN;Cooperative;1.249;52.004;6.367,0;12,24
Stearns Cooperative Elec Assn;MN;Cooperative;1.765;96.269;10.145,5;10,54
Steele-Waseca Cooperative Electric;MN;Cooperative;1.251;72.892;8.931,7;12,25
WAPA-- Western Area Power Administration;MN;Federal;4;57.333;1.346,2;2,35
Wild Rice Electric Coop, Inc;MN;Cooperative;813;49.414;5.509,8;11,15
Willmar Municipal Utilities;MN;Municipal;1.487;101.342;10.739,0;10,60
Wright-Hennepin Coop Elec Assn;MN;Cooperative;6.415;283.796;30.444,1;10,73
Black River Electric Coop - (MO);MO;Cooperative;3.527;134.098;13.960,0;10,41
Boone Electric Coop;MO;Cooperative;1.291;97.247;9.348,0;9,61
Callaway Electric Cooperative;MO;Cooperative;858;46.058;4.744,6;10,30
Carroll Electric Coop Corp - (AR);MO;Cooperative;948;24.212;2.738,0;11,31
Central Missouri Elec Coop Inc;MO;Cooperative;344;27.178;2.761,9;10,16
Citizens Electric Corporation - (MO);MO;Cooperative;2.785;105.278;12.786,8;12,15
City Utilities of Springfield - (MO);MO;Municipal;15.966;1.568.655;137.826,0;8,79
City of Carthage - (MO);MO;Municipal;1.107;62.680;7.344,0;11,72
City of Columbia - (MO);MO;Municipal;7.039;458.075;45.625,0;9,96
City of Farmington - (MO);MO;Municipal;890;25.398;2.898,8;11,41
City of Hannibal - (MO);MO;Municipal;1.198;28.562;3.364,2;11,78
City of Independence - (MO);MO;Municipal;5.170;398.079;50.668,3;12,73
City of Kirkwood - (MO);MO;Municipal;1.343;88.135;9.992,9;11,34
City of Lebanon - (MO);MO;Municipal;1.343;60.079;5.738,0;9,55
City of Monett - (MO);MO;Municipal;724;65.424;6.382,4;9,76
City of Poplar Bluff - (MO);MO;Municipal;1.801;160.098;15.215,0;9,50
City of Rolla - (MO);MO;Municipal;1.429;56.356;4.949,0;8,78
City of Sikeston - (MO);MO;Municipal;1.615;132.526;12.878,0;9,72
Clay County Electric Coop Corp;MO;Cooperative;5;234;30,0;12,82
Co-Mo Electric Coop Inc;MO;Cooperative;2.230;64.787;7.298,0;11,26
Consolidated Electric Coop;MO;Cooperative;538;32.772;2.920,4;8,91
Crawford Electric Coop, Inc;MO;Cooperative;1.679;43.572;4.499,8;10,33
Cuivre River Electric Coop Inc;MO;Cooperative;1.261;40.398;4.414,0;10,93
Empire District Electric Co;MO;Investor Owned;24.719;1.581.444;203.698,9;12,88
Evergy Metro;MO;Investor Owned;33.474;4.267.292;418.208,4;9,80
Evergy Missouri West;MO;Investor Owned;40.979;3.436.857;319.104,7;9,28
Farmers Electric Coop, Inc - (MO);MO;Cooperative;1.156;41.614;4.424,7;10,63
Gascosage Electric Coop;MO;Cooperative;955;27.487;2.786,0;10,14
Howell-Oregon Elec Coop, Inc;MO;Cooperative;2.449;59.755;6.080,0;10,17
Intercounty Electric Coop Assn;MO;Cooperative;2.190;85.230;8.154,0;9,57
Laclede Electric Coop, Inc;MO;Cooperative;3.835;119.596;12.242,0;10,24
Macon Electric Coop;MO;Cooperative;1.656;36.801;4.289,3;11,66
Missouri Rural Electric Coop;MO;Cooperative;572;25.035;2.673,0;10,68
New-Mac Electric Coop, Inc;MO;Cooperative;159;53.149;5.909,0;11,12
Osage Valley Elec Coop Assn;MO;Cooperative;1.028;38.602;4.434,0;11,49
Ozark Border Electric Coop;MO;Cooperative;7.469;163.900;15.450,0;9,43
Ozark Electric Coop Inc - (MO);MO;Cooperative;3.558;101.720;10.648,9;10,47
Platte-Clay Electric Coop, Inc;MO;Cooperative;3.256;65.369;7.224,0;11,05
SEMO Electric Cooperative;MO;Cooperative;5.526;89.388;13.020,3;14,57
Southwest Electric Coop, Inc;MO;Cooperative;3.184;102.051;10.254,0;10,05
Three Rivers Electric Coop;MO;Cooperative;1.869;75.553;7.200,0;9,53
Union Electric Co - (MO);MO;Investor Owned;164.241;13.868.142;1.233.844,4;8,90
Webster Electric Coop;MO;Cooperative;869;90.327;6.734,0;7,46
West Central Electric Coop Inc - (MO);MO;Cooperative;161;24.197;2.009,4;8,30
White River Valley El Coop Inc;MO;Cooperative;8.213;257.184;30.017,0;11,67
4-County Electric Power Assn;MS;Cooperative;10.429;308.563;44.878,0;14,54
Alcorn County Elec Power Assn;MS;Cooperative;4.146;156.959;21.391,0;13,63
