2022 Utility Bundled Retail Sales- Commercial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
Ouachita Electric Coop Corp;AR;Cooperative;866;34.530;3.455,0;10,01
Ozarks Electric Coop Corp - (AR);AR;Cooperative;4.965;333.962;42.554,9;12,74
Paragould Light & Water Comm;AR;Municipal;1.874;86.306;8.315,0;9,63
Petit Jean Electric Coop Corp;AR;Cooperative;2.031;66.808;8.379,6;12,54
South Central Ark El Coop, Inc;AR;Cooperative;1.231;31.166;4.570,0;14,66
Southwest Arkansas E C C;AR;Cooperative;2.975;142.038;15.201,4;10,70
Southwestern Electric Power Co;AR;Investor Owned;18.926;1.323.352;141.154,4;10,67
Woodruff Electric Coop Corp;AR;Cooperative;1.512;134.795;15.012,4;11,14
Ajo Improvement Co;AZ;Investor Owned;211;3.026;307,1;10,15
Ak-Chin Electric Utility Authority;AZ;State;118;32.626;2.635,3;8,08
Arizona Public Service Co;AZ;Investor Owned;138.559;13.643.827;1.572.024,0;11,52
City of Mesa - (AZ);AZ;Municipal;2.784;171.961;19.907,8;11,58
Constellation Solar Holding, LLC;AZ;Behind the Meter;10;79.353;8.347,6;10,52
Dixie Escalante R E A, Inc;AZ;Cooperative;327;11.565;871,7;7,54
Electrical Dist No2 Pinal County;AZ;Political Subdivision;976;154.889;11.721,0;7,57
Electrical Dist No3 Pinal County;AZ;Political Subdivision;1.826;190.974;21.037,0;11,02
Garkane Energy Coop, Inc;AZ;Cooperative;335;17.308;1.603,5;9,26
Gila River Indian Utility Authority (GRICUA);AZ;Cooperative;740;183.540;22.963,9;12,51
Greenbacker Renewable Energy Corporation;AZ;Behind the Meter;4;1.910;116,5;6,10
Longroad Energy;AZ;Behind the Meter;16;7.552;624,0;8,26
Mohave Electric Cooperative, Inc.;AZ;Cooperative;4.439;222.791;25.747,6;11,56
Morenci Water and Electric;AZ;Investor Owned;389;16.591;1.298,7;7,83
Navajo Tribal Utility Authority;AZ;State;3.364;207.583;34.826,0;16,78
Navopache Electric Coop, Inc;AZ;Cooperative;3.465;76.052;9.458,0;12,44
Salt River Project;AZ;Political Subdivision;108.807;12.398.549;1.161.446,0;9,37
Sulphur Springs Valley E C Inc;AZ;Cooperative;8.152;450.869;61.023,1;13,53
