2022 Utility Bundled Retail Sales- Industrial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
Navajo Tribal Utility Authority;AZ;State;2;77.769;8.464,0;10,88
Navopache Electric Coop, Inc;AZ;Cooperative;541;109.967;12.089,0;10,99
Salt River Project;AZ;Political Subdivision;45;4.303.202;263.895,0;6,13
Sulphur Springs Valley E C Inc;AZ;Cooperative;5;54.022;6.352,8;11,76
Trico Electric Cooperative Inc;AZ;Cooperative;26;43.158;3.364,7;7,80
Tucson Electric Power Co;AZ;Investor Owned;577;3.012.500;260.226,7;8,64
UNS Electric, Inc;AZ;Investor Owned;8;121.482;11.302,2;9,30
USBIA-San Carlos Project;AZ;Federal;3;11.555;803,0;6,95
WAPA-- Western Area Power Administration;AZ;Federal;5;216.541;3.860,8;1,78
Bear Valley Electric Service;CA;Investor Owned;7;23.250;4.130,3;17,76
City & County of San Francisco;CA;Municipal;1;21.812;2.302,7;10,56
City of Anaheim - (CA);CA;Municipal;273;876.269;122.338,0;13,96
City of Azusa;CA;Municipal;28;65.817;9.657,0;14,67
City of Colton - (CA);CA;Municipal;105;164.655;23.655,0;14,37
City of Corona - (CA);CA;Municipal;9;28.745;3.251,4;11,31
City of Glendale - (CA);CA;Municipal;26;20.847;3.551,9;17,04
City of Lodi - (CA);CA;Municipal;24;117.952;18.302,9;15,52
City of Moreno Valley - (CA);CA;Municipal;8;13.520;3.050,2;22,56
City of Palo Alto - (CA);CA;Municipal;60;112.841;17.020,0;15,08
City of Redding - (CA);CA;Municipal;342;12.254;2.338,0;19,08
City of Riverside - (CA);CA;Municipal;660;945.352;127.100,0;13,44
City of Roseville - (CA);CA;Municipal;32;255.022;28.295,4;11,10
City of Santa Clara - (CA);CA;Municipal;1.717;4.040.609;487.697,8;12,07
City of Vernon;CA;Municipal;488;733.573;117.173,6;15,97
Constellation Solar Holding, LLC;CA;Behind the Meter;1;1.102;146,1;13,26
Imperial Irrigation District;CA;Political Subdivision;812;78.257;14.222,0;18,17
Los Angeles Department of Water & Power;CA;Municipal;9.382;1.186.395;223.241,7;18,82
Merced Irrigation District;CA;Political Subdivision;102;202.152;24.638,5;12,19
Modesto Irrigation District;CA;Political Subdivision;143;803.740;81.056,0;10,08
PacifiCorp;CA;Investor Owned;1.941;165.247;19.104,3;11,56
Pacific Gas & Electric Co.;CA;Investor Owned;90.215;11.783.241;2.813.179,0;23,87
Sacramento Municipal Util Dist;CA;Political Subdivision;2.535;2.142.891;249.974,5;11,67
San Diego Gas & Electric Co;CA;Investor Owned;4.255;1.175.333;243.811,1;20,74
Southern California Edison Co;CA;Investor Owned;21.599;3.952.239;690.438,1;17,47
Surprise Valley Electrification;CA;Cooperative;968;72.264;6.195,1;8,57
Turlock Irrigation District;CA;Political Subdivision;6.410;887.515;110.311,0;12,43
Valley Electric Assn, Inc;CA;Cooperative;30;11.509;1.132,2;9,84
WAPA-- Western Area Power Administration;CA;Federal;48;1.484.204;44.729,9;3,01
Black Hills Colorado Electric, LLC;CO;Investor Owned;53;388.303;44.325,0;11,42
CORE Electric Cooperative;CO;Cooperative;11;82.922;7.387,0;8,91
City of Colorado Springs - (CO);CO;Municipal;1.382;2.040.046;198.788,6;9,74
City of Fort Collins - (CO);CO;Municipal;13;465.074;35.452,0;7,62
City of Fort Morgan;CO;Municipal;1;71.107;5.060,6;7,12
City of Longmont;CO;Municipal;12;137.583;10.719,9;7,79
City of Loveland - (CO);CO;Municipal;357;342.889;30.758,5;8,97
Delta Montrose Electric Assn;CO;Cooperative;237;127.525;11.499,7;9,02
Empire Electric Assn, Inc;CO;Cooperative;121;343.617;24.400,8;7,10
Grand Valley Power;CO;Cooperative;178;12.104;1.363,0;11,26
High West Energy, Inc;CO;Cooperative;351;119.165;13.506,0;11,33
Highline Electric Assn;CO;Cooperative;2.088;283.606;30.403,1;10,72
Holy Cross Electric Assn, Inc;CO;Cooperative;20;65.024;6.769,0;10,41
K C Electric Association;CO;Cooperative;682;83.319;8.465,6;10,16
La Plata Electric Assn, Inc;CO;Cooperative;224;365.572;26.608,0;7,28
Moon Lake Electric Assn Inc;CO;Cooperative;117;464.370;32.189,4;6,93
Morgan County Rural Elec Assn;CO;Cooperative;1.595;113.387;14.146,6;12,48
Mountain Parks Electric, Inc;CO;Cooperative;20;34.079;3.089,0;9,06
Mountain View Elec Assn, Inc;CO;Cooperative;39;138.997;11.599,9;8,35
Poudre Valley REA, Inc;CO;Cooperative;722;569.620;42.080,4;7,39
Public Service Co of Colorado;CO;Investor Owned;311;5.972.809;485.127,6;8,12
San Isabel Electric Assn, Inc;CO;Cooperative;13;146.520;12.567,1;8,58
San Luis Valley R E C, Inc;CO;Cooperative;2.587;92.743;15.384,0;16,59
San Miguel Power Assn, Inc;CO;Cooperative;72;1.236;204,7;16,56
Southeast Colorado Power Assn;CO;Cooperative;11;56.835;6.762,0;11,90
Tri-County Electric Coop, Inc (OK);CO;Cooperative;2;0;0,6;.
United Power, Inc;CO;Cooperative;866;1.441.345;119.381,8;8,28
WAPA-- Western Area Power Administration;CO;Federal;3;13.807;370,5;2,68
White River Electric Assn, Inc;CO;Cooperative;92;516.350;41.363,6;8,01
Y-W Electric Assn Inc;CO;Cooperative;2.350;204.032;25.045,0;12,28
Yampa Valley Electric Assn Inc;CO;Cooperative;83;157.704;14.097,5;8,94
Bozrah Light & Power Company;CT;Municipal;14;178.887;22.432,4;12,54
City of Norwich - (CT);CT;Municipal;9;8.014;1.404,5;17,53
Connecticut Light & Power Co;CT;Investor Owned;1.841;164.860;38.094,7;23,11
Groton Dept of Utilities - (CT);CT;Municipal;12;259.526;28.430,1;10,95
Town of Wallingford - (CT);CT;Municipal;24;122.989;14.416,9;11,72
United Illuminating Co;CT;Investor Owned;264;30.385;6.109,5;20,11
City of Dover - (DE);DE;Municipal;39;285.442;27.883,0;9,77
City of Milford - (DE);DE;Municipal;11;87.656;8.542,9;9,75
City of Newark - (DE);DE;Municipal;57;251.779;28.057,7;11,14
Constellation Solar Holding, LLC;DE;Behind the Meter;1;1.219;91,4;7,50
Delmarva Power;DE;Investor Owned;55;98.210;10.388,6;10,58
Town of Middletown - (DE);DE;Municipal;393;153.870;14.794,4;9,61
Central Florida Elec Coop, Inc;FL;Cooperative;792;68.253;8.828,9;12,94
Choctawhatche Elec Coop, Inc;FL;Cooperative;2;16.118;1.283,3;7,96
City of Bartow - (FL);FL;Municipal;285;66.509;8.551,3;12,86
City of Homestead - (FL);FL;Municipal;609;164.196;12.363,0;7,53
City of Lakeland - (FL);FL;Municipal;76;721.997;62.613,8;8,67
City of Leesburg - (FL);FL;Municipal;1;11.416;1.333,0;11,68
City of Ocala;FL;Municipal;954;567.445;46.655,8;8,22
Clay Electric Cooperative, Inc;FL;Cooperative;44;462.406;39.846,3;8,62
Duke Energy Florida, LLC;FL;Investor Owned;1.868;3.507.790;316.218,9;9,01
Florida Keys El Coop Assn, Inc;FL;Cooperative;478;204.611;29.238,0;14,29
Florida Power & Light Co;FL;Investor Owned;13.420;4.727.078;405.950,5;8,59
Florida Public Utilities Co;FL;Investor Owned;2;45.326;4.247,0;9,37
Gainesville Regional Utilities;FL;Municipal;11;179.306;25.002,0;13,94
Glades Electric Coop, Inc;FL;Cooperative;498;106.115;15.280,0;14,40
JEA;FL;Municipal;199;2.689.095;261.357,0;9,72
Kissimmee Utility Authority;FL;Municipal;49;148.633;17.583,5;11,83
