2022 Utility Bundled Retail Sales- Industrial;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
Pioneer Electric Coop, Inc - (KS);KS;Cooperative;603;531.767;47.622,0;8,96
Prairie Land Electric Coop Inc;KS;Cooperative;2.342;174.350;17.779,8;10,20
Southern Pioneer Electric Company;KS;Cooperative;67;523.629;34.691,0;6,63
Tri-County Electric Coop, Inc (OK);KS;Cooperative;28;909;146,4;16,11
Victory Electric Coop Assn Inc;KS;Cooperative;2.331;382.370;33.604,0;8,79
WAPA-- Western Area Power Administration;KS;Federal;1;384;1,0;0,26
Western Coop Electric Assn Inc;KS;Cooperative;481;14.620;1.996,9;13,66
Wheatland Electric Coop, Inc;KS;Cooperative;1.242;92.116;10.023,5;10,88
Big Sandy Rural Elec Coop Corp;KY;Cooperative;9;17.029;1.632,0;9,58
Blue Grass Energy Coop Corp;KY;Cooperative;12;306.876;24.446,0;7,97
City of Bardstown - (KY);KY;Municipal;15;87.653;7.909,0;9,02
City of Benton - (KY);KY;Municipal;1;12.339;1.125,0;9,12
City of Berea Municipal Utility;KY;Municipal;58;40.744;2.930,6;7,19
City of Bowling Green - (KY);KY;Municipal;6;124.972;9.439,0;7,55
City of Frankfort - (KY);KY;Municipal;236;318.052;28.851,0;9,07
City of Franklin - (KY);KY;Municipal;4;63.044;4.515,0;7,16
City of Fulton - (KY);KY;Municipal;1;13.399;1.191,0;8,89
City of Glasgow - (KY);KY;Municipal;3;13.502;1.195,0;8,85
City of Hopkinsville;KY;Municipal;2;71.828;5.332,0;7,42
City of Mayfield Plant Board;KY;Municipal;2;8.624;951,0;11,03
City of Murray - (KY);KY;Municipal;2;37.025;2.691,0;7,27
City of Owensboro - (KY);KY;Municipal;74;311.457;28.731,3;9,22
City of Paducah - (KY);KY;Municipal;3;20.587;2.561,4;12,44
City of Russellville - (KY);KY;Municipal;4;40.061;3.446,0;8,60
Clark Energy Coop Inc - (KY);KY;Cooperative;1;11.102;1.154,0;10,39
Cumberland Valley Electric, Inc.;KY;Cooperative;72;84.495;8.184,0;9,69
Duke Energy Kentucky;KY;Investor Owned;336;755.019;72.940,9;9,66
Farmers Rural Electric Coop Corp - (KY);KY;Cooperative;6;98.439;9.313,0;9,46
Fleming-Mason Energy Coop Inc;KY;Cooperative;6;569.911;42.132,0;7,39
Gibson Electric Members Corp;KY;Cooperative;1;13.975;928,0;6,64
Grayson Rural Electric Coop Corp;KY;Cooperative;2;29.611;2.276,0;7,69
Henderson City Utility Comm;KY;Municipal;35;308.798;17.806,9;5,77
Inter County Energy Coop Corp;KY;Cooperative;10;179.701;13.242,0;7,37
Jackson Energy Coop Corp - (KY);KY;Cooperative;9;95.798;8.482,9;8,85
Jackson Purchase Energy Corporation;KY;Cooperative;11;45.753;4.951,5;10,82
Kenergy Corp;KY;Cooperative;28;5.904.880;477.784,0;8,09
Kentucky Power Co;KY;Investor Owned;1.049;2.068.484;183.906,0;8,89
Kentucky Utilities Co;KY;Investor Owned;1.674;6.135.244;452.554,1;7,38
Licking Valley Rural E C C;KY;Cooperative;7;11.687;1.170,0;10,01
Louisville Gas & Electric Co;KY;Investor Owned;548;2.440.382;183.287,0;7,51
Nolin Rural Electric Coop Corp;KY;Cooperative;2;123.697;8.966,0;7,25
Owen Electric Coop Inc;KY;Cooperative;37;1.479.458;92.602,0;6,26
Pennyrile Rural Electric Coop;KY;Cooperative;27;348.742;26.256,0;7,53
Salt River Electric Coop Corp;KY;Cooperative;22;239.151;20.114,0;8,41
Shelby Energy Co-op, Inc;KY;Cooperative;12;138.592;11.865,0;8,56
South Kentucky Rural E C C;KY;Cooperative;657;376.428;38.341,9;10,19
Taylor County Rural E C C;KY;Cooperative;11;119.378;8.669,0;7,26
Tennessee Valley Authority;KY;Federal;10;4.258.166;209.364,4;4,92
Tri-County Elec Member Corp (TN);KY;Cooperative;4;71.310;5.185,0;7,27
Warren Rural Elec Coop Corp;KY;Cooperative;45;876.535;65.104,0;7,43
West Kentucky Rural E C C;KY;Cooperative;4;202.195;9.977,0;4,93
Beauregard Electric Coop, Inc;LA;Cooperative;4;715.595;46.115,0;6,44
City of Alexandria - (LA);LA;Municipal;7;5.250;509,0;9,70
City of Natchitoches;LA;Municipal;5;78.121;6.692,3;8,57
City of Ruston - (LA);LA;Municipal;16;11.461;667,0;5,82
Claiborne Electric Coop, Inc;LA;Cooperative;98;223.370;21.530,0;9,64
Cleco Power LLC;LA;Investor Owned;539;2.281.879;229.634,0;10,06
Concordia Electric Coop, Inc;LA;Cooperative;167;5.750;1.106,0;19,23
Dixie Electric Membership Corp;LA;Cooperative;535;279.499;36.885,8;13,20
Entergy Louisiana LLC;LA;Investor Owned;11.656;31.736.415;2.275.977,8;7,17
Entergy New Orleans, LLC;LA;Investor Owned;1.608;408.527;36.364,2;8,90
Jefferson Davis Elec Coop, Inc;LA;Cooperative;59;63.833;6.248,0;9,79
Northeast Louisiana Power Coop Inc.;LA;Cooperative;2.677;14.983;2.527,0;16,87
Panola-Harrison Elec Coop, Inc;LA;Cooperative;7;26.641;3.271,3;12,28
Pointe Coupee Elec Member Corp;LA;Cooperative;7;51.875;5.262,0;10,14
South Louisiana Elec Coop Assn;LA;Cooperative;11;57.071;6.112,0;10,71
Southwest Louisiana E M C;LA;Cooperative;25;278.055;25.518,3;9,18
Southwestern Electric Power Co;LA;Investor Owned;2.039;1.190.888;108.336,7;9,10
Vinton Public Power Authority;LA;Political Subdivision;3;2.575.202;197.775,5;7,68
Washington-St Tammany E C, Inc;LA;Cooperative;1;5.231;626,2;11,97
City of Chicopee - (MA);MA;Municipal;35;112.343;16.105,8;14,34
City of Holyoke - (MA);MA;Municipal;22;47.036;4.947,0;10,52
City of Norwood - (MA);MA;Municipal;45;124.093;19.583,0;15,78
City of Peabody - (MA);MA;Municipal;1.872;262.022;35.119,2;13,40
City of Taunton;MA;Municipal;400;213.772;30.781,0;14,40
City of Westfield - (MA);MA;Municipal;65;122.803;19.405,2;15,80
Fitchburg Gas & Elec Light Co;MA;Investor Owned;5;17.144;3.586,1;20,92
Massachusetts Electric Co;MA;Investor Owned;1.180;151.323;36.248,5;23,95
NSTAR Electric Company;MA;Investor Owned;639;107.164;34.605,0;32,29
Nantucket Electric Co;MA;Investor Owned;1;108;29,8;27,59
Town of Braintree - (MA);MA;Municipal;5;18.124;2.570,0;14,18
Town of Danvers;MA;Municipal;345;164.529;21.265,0;12,92
Town of Hudson - (MA);MA;Municipal;163;73.583;10.006,0;13,60
Town of Littleton - (MA);MA;Municipal;49;112.857;16.857,7;14,94
Town of Mansfield - (MA);MA;Municipal;269;124.440;17.340,9;13,94
Town of Middleborough - (MA);MA;Municipal;17;43.702;5.602,0;12,82
Town of North Attleborough - (MA);MA;Municipal;152;82.388;11.853,5;14,39
Town of Shrewsbury - (MA);MA;Municipal;124;93.414;10.610,0;11,36
Town of Sterling - (MA);MA;Municipal;92;19.204;2.926,0;15,24
Town of Wellesley - (MA);MA;Municipal;5;43.569;5.713,7;13,11
Baltimore Gas & Electric Co;MD;Investor Owned;3.638;137.506;22.568,2;16,41
Choptank Electric Cooperative, Inc;MD;Cooperative;161;126.698;13.076,0;10,32
Constellation Solar Holding, LLC;MD;Behind the Meter;2;1.598;234,2;14,66
Delmarva Power;MD;Investor Owned;57;9.958;1.311,5;13,17
Hagerstown Light Department;MD;Municipal;47;60.562;4.334,9;7,16
Potomac Electric Power Co;MD;Investor Owned;1;619;111,6;18,03
The Potomac Edison Company;MD;Investor Owned;1.104;84.110;13.443,0;15,98
Central Maine Power Co;ME;Investor Owned;1.161;93.090;18.205,0;19,56
Eastern Maine Electric Coop;ME;Cooperative;29;13.880;1.785,3;12,86
Houlton Water Company;ME;Municipal;77;23.074;2.187,7;9,48
Town of Madison - (ME);ME;Municipal;14;3.893;492,0;12,64
Versant Power;ME;Investor Owned;39;63.523;5.854,6;9,22
Alger-Delta Coop Electric Assn;MI;Cooperative;1;34.280;4.332,9;12,64
Alpena Power Co;MI;Investor Owned;3;164.109;14.865,5;9,06
Cherryland Electric Coop Inc;MI;Cooperative;129;1.981;273,1;13,79
City of Bay City - (MI);MI;Municipal;137;53.404;6.744,7;12,63
City of Grand Haven - (MI);MI;Municipal;128;110.835;11.927,0;10,76
City of Holland;MI;Municipal;175;597.237;43.241,0;7,24
City of Lansing - (MI);MI;Municipal;246;347.248;39.882,0;11,49
City of Sturgis;MI;Municipal;63;116.480;12.151,4;10,43
City of Traverse City - (MI);MI;Municipal;40;126.985;10.370,0;8,17
City of Zeeland - (MI);MI;Municipal;115;319.407;24.520,8;7,68
Cloverland Electric Co-op;MI;Cooperative;8;146.126;13.103,1;8,97
Coldwater Board of Public Util;MI;Municipal;65;373.990;33.164,0;8,87
Consumers Energy Co;MI;Investor Owned;1.304;8.455.125;735.644,6;8,70
DTE Electric Company;MI;Investor Owned;711;8.548.188;658.926,5;7,71
Great Lakes Energy Coop;MI;Cooperative;304;531.883;46.171,2;8,68
Indiana Michigan Power Co;MI;Investor Owned;771;676.252;71.104,0;10,51
Northern States Power Co;MI;Investor Owned;2;30.636;2.427,6;7,92
Presque Isle Elec & Gas Coop;MI;Cooperative;583;23.507;2.936,5;12,49
Tri-County Electric Coop (MI);MI;Cooperative;205;96.533;10.084,9;10,45
Upper Michigan Energy Resources Corp.;MI;Investor Owned;37;1.337.704;118.919,1;8,89
Upper Peninsula Power Company;MI;Investor Owned;41;326.657;24.657,7;7,55
Wyandotte Municipal Serv Comm;MI;Municipal;2;127.734;10.985,9;8,60
ALLETE, Inc.;MN;Investor Owned;375;6.045.708;540.716,5;8,94
Agralite Electric Coop;MN;Cooperative;595;78.388;7.106,8;9,07
BENCO Electric Cooperative;MN;Cooperative;17;61.055;5.916,0;9,69
Beltrami Electric Coop, Inc;MN;Cooperative;18;53;18,0;33,96
City of Alexandria - (MN);MN;Municipal;217;174.761;13.990,6;8,01
City of Anoka;MN;Municipal;19;112.561;13.571,0;12,06
City of Austin - (MN);MN;Municipal;1;130.098;10.743,0;8,26
City of Chaska - (MN);MN;Municipal;108;133.002;17.060,9;12,83
City of Elk River;MN;Municipal;231;199.349;22.168,0;11,12
City of Marshall - (MN);MN;Municipal;105;372.504;22.167,0;5,95
City of Moorhead - (MN);MN;Municipal;372;212.310;17.109,2;8,06
City of Owatonna - (MN);MN;Municipal;67;260.057;22.372,4;8,60
City of Worthington - (MN);MN;Municipal;7;121.538;9.899,0;8,14
Connexus Energy;MN;Cooperative;422;177.415;14.917,4;8,41
Crow Wing Cooperative Power & Light Comp;MN;Cooperative;214;110.470;10.018,0;9,07
Dakota Electric Association;MN;Cooperative;396;14.350;1.470,0;10,24
East Central Energy;MN;Cooperative;179;120.297;9.525,9;7,92
Federated Rural Electric Assn;MN;Cooperative;4;260.798;19.242,0;7,38
Freeborn Mower Electric Cooperative;MN;Cooperative;31;155.898;13.820,0;8,86
Hutchinson Utilities Comm;MN;Municipal;3;112.228;8.991,0;8,01
Itasca-Mantrap Co-op Electrical Assn;MN;Cooperative;390;146.293;12.909,5;8,82
Lake Country Power;MN;Cooperative;3;113.936;9.642,6;8,46
Lake Region Electric Cooperative - (MN);MN;Cooperative;710;17.305;1.712,2;9,89
Meeker Coop Light & Power Assn;MN;Cooperative;126;31.587;2.544,1;8,05
MiEnergy Cooperative;MN;Cooperative;15;71.458;5.237,6;7,33
Mille Lacs Energy Cooperative;MN;Cooperative;115;35.275;4.211,9;11,94
Minnesota Valley Coop L&P Assn;MN;Cooperative;37;70.508;5.767,5;8,18
Northern States Power Co - Minnesota;MN;Investor Owned;490;7.241.299;743.149,3;10,26
Otter Tail Power Co;MN;Investor Owned;12;1.151.613;69.571,9;6,04
People's Cooperative Services;MN;Cooperative;45;52.746;5.715,9;10,84
Rochester Public Utilities;MN;Municipal;1;75.378;8.680,5;11,52
Runestone Electric Assn;MN;Cooperative;273;17.523;1.658,0;9,46
Shakopee Public Utilities Comm;MN;Municipal;588;286.020;34.224,0;11,97
Sioux Valley SW Elec Coop;MN;Cooperative;119;44.576;4.423,9;9,92
South Central Electric Assn;MN;Cooperative;13;95.016;7.494,0;7,89
Stearns Cooperative Elec Assn;MN;Cooperative;573;48.980;4.184,1;8,54
Steele-Waseca Cooperative Electric;MN;Cooperative;46;115.080;10.797,5;9,38
Wild Rice Electric Coop, Inc;MN;Cooperative;3;9.970;843,3;8,46
Willmar Municipal Utilities;MN;Municipal;17;95.953;8.293,0;8,64
Wright-Hennepin Coop Elec Assn;MN;Cooperative;107;51.568;5.128,1;9,94
Black River Electric Coop - (MO);MO;Cooperative;3;23.098;1.739,0;7,53
Boone Electric Coop;MO;Cooperative;7;48.964;4.483,0;9,16
Central Missouri Elec Coop Inc;MO;Cooperative;2;118.681;7.688,7;6,48
Citizens Electric Corporation - (MO);MO;Cooperative;110;1.269.536;96.681,7;7,62
City Utilities of Springfield - (MO);MO;Municipal;236;477.258;35.292,0;7,39
City of Carthage - (MO);MO;Municipal;30;135.969;12.377,0;9,10
City of Columbia - (MO);MO;Municipal;30;277.887;23.650,0;8,51
City of Farmington - (MO);MO;Municipal;164;86.481;8.283,7;9,58
City of Hannibal - (MO);MO;Municipal;94;127.543;10.608,9;8,32
City of Independence - (MO);MO;Municipal;13;68.403;6.678,9;9,76
City of Kirkwood - (MO);MO;Municipal;1;6.605;886,0;13,41
City of Lebanon - (MO);MO;Municipal;47;115.368;10.209,0;8,85
City of Monett - (MO);MO;Municipal;38;118.126;11.351,7;9,61
City of Poplar Bluff - (MO);MO;Municipal;13;68.365;4.749,0;6,95
City of Rolla - (MO);MO;Municipal;107;148.165;11.314,0;7,64
City of Sikeston - (MO);MO;Municipal;17;100.234;6.636,0;6,62
Co-Mo Electric Coop Inc;MO;Cooperative;1;12.084;941,0;7,79
Consolidated Electric Coop;MO;Cooperative;82;87.264;7.518,1;8,62
Crawford Electric Coop, Inc;MO;Cooperative;3;3.338;259,3;7,77
Cuivre River Electric Coop Inc;MO;Cooperative;262;246.950;18.654,6;7,55
Empire District Electric Co;MO;Investor Owned;269;1.065.275;98.708,7;9,27
Evergy Metro;MO;Investor Owned;903;1.445.614;99.616,0;6,89
Evergy Missouri West;MO;Investor Owned;234;1.422.317;94.731,0;6,66
Farmers Electric Coop, Inc - (MO);MO;Cooperative;9;89.643;6.018,9;6,71
Gascosage Electric Coop;MO;Cooperative;2;28.470;2.014,0;7,07
Howell-Oregon Elec Coop, Inc;MO;Cooperative;117;47.486;4.244,2;8,94
Intercounty Electric Coop Assn;MO;Cooperative;14;41.690;2.813,3;6,75
Laclede Electric Coop, Inc;MO;Cooperative;14;23.549;2.127,0;9,03
Macon Electric Coop;MO;Cooperative;2;84.593;5.164,4;6,10
Missouri Rural Electric Coop;MO;Cooperative;11;125.620;7.802,0;6,21
New-Mac Electric Coop, Inc;MO;Cooperative;4;52.670;3.548,0;6,74
Ozark Border Electric Coop;MO;Cooperative;13;27.517;2.162,0;7,86
Ozark Electric Coop Inc - (MO);MO;Cooperative;1;10.979;881,2;8,03
Platte-Clay Electric Coop, Inc;MO;Cooperative;8;56.615;5.981,0;10,56
SEMO Electric Cooperative;MO;Cooperative;16;94.417;7.771,4;8,23
Three Rivers Electric Coop;MO;Cooperative;13;34.597;2.823,0;8,16
Union Electric Co - (MO);MO;Investor Owned;3.630;4.089.439;289.642,0;7,08
White River Valley El Coop Inc;MO;Cooperative;9;58.099;5.355,0;9,22
4-County Electric Power Assn;MS;Cooperative;8;192.222;14.086,0;7,33
Alcorn County Elec Power Assn;MS;Cooperative;6;212.412;12.708,0;5,98
Central Electric Power Assn - (MS);MS;Cooperative;8;218.914;15.504,0;7,08
City of Aberdeen - (MS);MS;Municipal;2;129.598;7.847,0;6,05
City of Amory;MS;Municipal;3;38.213;3.317,0;8,68
City of Columbus - (MS);MS;Municipal;3;17.975;1.782,0;9,91
City of Holly Springs;MS;Municipal;2;11.944;1.274,0;10,67
City of Macon - (MS);MS;Municipal;1;1.420;273,0;19,23
City of New Albany - (MS);MS;Municipal;4;98.542;6.736,0;6,84
City of Philadelphia - (MS);MS;Municipal;1;4.473;470,0;10,51
City of Starkville;MS;Municipal;3;28.393;2.284,0;8,04
City of Tupelo - (MS);MS;Municipal;3;144.542;8.683,0;6,01
City of Water Valley - (MS);MS;Municipal;1;26.525;1.481,0;5,58
City of West Point - (MS);MS;Municipal;1;15.950;1.257,0;7,88
Coast Electric Power Assn;MS;Cooperative;9;228.004;14.965,0;6,56
Delta Electric Power Assn;MS;Cooperative;4.331;195.575;24.919,9;12,74
Dixie Electric Power Assn;MS;Cooperative;23;95.675;8.786,1;9,18
Entergy Mississippi LLC;MS;Investor Owned;4.021;2.352.058;182.270,1;7,75
Greenwood Utilities Comm;MS;Municipal;8;46.432;4.260,4;9,18
Louisville Electric System;MS;Municipal;3;46.034;2.832,0;6,15
Magnolia Electric Power Assn;MS;Cooperative;13;148.247;11.313,0;7,63
Mississippi Power Co;MS;Investor Owned;436;4.686.402;330.529,0;7,05
Natchez Trace Elec Power Assn;MS;Cooperative;4;23.968;2.683,0;11,19
North East Mississippi EPA;MS;Cooperative;4;70.609;5.640,0;7,99
Northcentral Mississippi E P A;MS;Cooperative;12;223.540;15.659,0;7,01
Pearl River Valley El Pwr Assn;MS;Cooperative;28;125.237;11.236,0;8,97
Pontotoc Electric Power Assn;MS;Cooperative;3;49.156;3.982,0;8,10
Prentiss County Elec Pwr Assn;MS;Cooperative;8;71.504;5.905,0;8,26
Singing River Elec Cooperative;MS;Cooperative;15;76.839;6.812,8;8,87
Southern Pine Electric Cooperative;MS;Cooperative;47;738.307;60.080,1;8,14
Southwest Mississippi E P A;MS;Cooperative;13;107.695;9.634,9;8,95
Tallahatchie Valley E P A;MS;Cooperative;7;99.380;8.176,0;8,23
Tennessee Valley Authority;MS;Federal;6;4.506.692;205.322,9;4,56
Tippah Electric Power Assn;MS;Cooperative;8;80.549;7.554,0;9,38
Tishomingo County E P A;MS;Cooperative;5;35.142;2.898,0;8,25
Tombigbee Electric Power Assn;MS;Cooperative;20;228.860;18.685,0;8,16
Yazoo Valley Elec Power Assn;MS;Cooperative;10;447.014;30.843,0;6,90
Black Hills Power, Inc.;MT;Investor Owned;4;153.426;9.858,0;6,43
Fergus Electric Coop, Inc;MT;Cooperative;152;3.973;574,0;14,45
Flathead Electric Coop Inc;MT;Cooperative;96;209.114;11.852,0;5,67
Lower Yellowstone R E A, Inc;MT;Cooperative;960;154.646;16.393,0;10,60
McKenzie Electric Coop Inc;MT;Cooperative;79;132;33,7;25,53
Missoula Electric Coop, Inc;MT;Cooperative;271;18.643;1.591,7;8,54
Montana-Dakota Utilities Co;MT;Investor Owned;120;297.373;20.842,0;7,01
NorthWestern Energy LLC - (MT);MT;Investor Owned;2.059;403.742;37.996,0;9,41
Northern Lights, Inc;MT;Cooperative;7;5.191;444,0;8,55
Powder River Energy Corp;MT;Cooperative;104;76.105;5.315,6;6,98
USBIA-Mission Valley Power;MT;Federal;1.093;18.446;964,9;5,23
WAPA-- Western Area Power Administration;MT;Federal;8;31.830;174,5;0,55
Yellowstone Valley Elec Co-op;MT;Cooperative;239;8.640;1.003,0;11,61
Albemarle Electric Member Corp;NC;Cooperative;22;6.818;564,0;8,27
Blue Ridge Elec Member Corp - (NC);NC;Cooperative;7;100.125;7.114,0;7,11
Blue Ridge Mountain EMC - (GA);NC;Cooperative;1;25.996;1.645,0;6,33
Central Electric Membership Corp. - (NC);NC;Cooperative;14;45.953;3.407,5;7,42
City of Albemarle - (NC);NC;Municipal;12;23.810;1.992,6;8,37
City of Concord - (NC);NC;Municipal;63;158.069;13.517,1;8,55
City of Gastonia - (NC);NC;Municipal;88;115.199;9.116,0;7,91
City of Kinston - (NC);NC;Municipal;12;175.696;14.310,1;8,14
City of Lexington - (NC);NC;Municipal;26;26.058;2.490,8;9,56
City of Lumberton - (NC);NC;Municipal;7;28.900;2.667,3;9,23
City of Monroe - (NC);NC;Municipal;113;400.019;26.341,9;6,59
City of Morganton - (NC);NC;Municipal;40;147.889;10.739,2;7,26
City of New Bern - (NC);NC;Municipal;4;17.977;1.381,9;7,69
City of Rocky Mount - (NC);NC;Municipal;33;139.402;11.179,0;8,02
City of Statesville - (NC);NC;Municipal;39;128.330;9.967,7;7,77
City of Washington - (NC);NC;Municipal;5;21.654;2.351,1;10,86
City of Wilson;NC;Municipal;43;511.309;38.348,5;7,50
Duke Energy Carolinas, LLC;NC;Investor Owned;4.545;12.449.648;732.728,3;5,89
Duke Energy Progress - (NC);NC;Investor Owned;2.879;8.170.735;585.291,1;7,16
Edgecombe-Martin County E M C;NC;Cooperative;13;22.269;1.515,0;6,80
EnergyUnited Elec Member Corp;NC;Cooperative;33;402.480;23.223,0;5,77
Fayetteville Public Works Commission;NC;Municipal;34;403.899;26.333,0;6,52
Four County Elec Member Corp;NC;Cooperative;7;306.533;19.052,0;6,22
French Broad Elec Member Corp;NC;Cooperative;5;102.602;7.551,1;7,36
Greenville Utilities Comm;NC;Municipal;503;305.247;21.458,3;7,03
Haywood Electric Member Corp;NC;Cooperative;21;8.120;799,0;9,84
Jones-Onslow Elec Member Corp;NC;Cooperative;4;34.468;2.952,2;8,57
Lumbee River Elec Member Corp;NC;Cooperative;16;159.328;12.671,2;7,95
Pee Dee Electric Member Corp;NC;Cooperative;5;16.947;1.431,9;8,45
Piedmont Electric Member Corp;NC;Cooperative;1;6.268;595,1;9,49
Randolph Electric Member Corp;NC;Cooperative;6;19.953;1.704,5;8,54
Roanoke Electric Member Corp;NC;Cooperative;9;34.244;2.900,0;8,47
Rutherford Elec Member Corp;NC;Cooperative;30;206.224;14.018,0;6,80
South River Elec Member Corp;NC;Cooperative;2;9.991;712,0;7,13
Surry-Yadkin Elec Member Corp;NC;Cooperative;2;2.579;330,7;12,82
Tideland Electric Member Corp;NC;Cooperative;10;21.158;1.831,0;8,65
Town of High Point;NC;Municipal;190;163.164;14.484,7;8,88
Town of Huntersville - (NC);NC;Municipal;2;130.138;8.491,0;6,52
Town of Murphy - (NC);NC;Municipal;4;391.637;18.837,0;4,81
Town of Tarboro - (NC);NC;Municipal;13;90.192;7.556,0;8,38
Tri-County Elec Member Corp (NC);NC;Cooperative;3;90.037;6.964,5;7,74
Union Electric Membership Corp - (NC);NC;Cooperative;1;929;75,0;8,07
Virginia Electric & Power Co;NC;Investor Owned;47;1.511.043;95.007,5;6,29
Wake Electric Membership Corp;NC;Cooperative;3;49.404;2.485,0;5,03
Basin Electric Power Coop;ND;Cooperative;1;1.118.894;65.486,0;5,85
Capital Electric Coop, Inc;ND;Cooperative;59;1.663;254,4;15,30
Cass County Elec Coop Inc;ND;Cooperative;611;208.877;20.784,0;9,95
Dakota Valley Elec Coop Inc;ND;Cooperative;708;543.268;41.470,2;7,63
Lower Yellowstone R E A, Inc;ND;Cooperative;172;79.417;8.323,0;10,48
McKenzie Electric Coop Inc;ND;Cooperative;1.100;3.623.155;233.213,8;6,44
McLean Electric Coop, Inc;ND;Cooperative;95;53.381;4.154,0;7,78
Montana-Dakota Utilities Co;ND;Investor Owned;88;289.552;21.218,0;7,33
Mountrail-Williams Elec Coop;ND;Cooperative;4.755;3.820.903;299.753,1;7,85
Nodak Electric Coop Inc;ND;Cooperative;522;762.707;59.481,0;7,80
North Central Elec Coop, Inc;ND;Cooperative;5;13.146;1.039,9;7,91
Northern Plains Electric Coop;ND;Cooperative;179;116.323;10.109,0;8,69
Northern States Power Co - Minnesota;ND;Investor Owned;24;350.501;32.365,9;9,23
Otter Tail Power Co;ND;Investor Owned;2;3.925;380,8;9,70
Roughrider Electric Cooperativ;ND;Cooperative;75;252.349;21.489,0;8,52
Slope Electric Coop Inc;ND;Cooperative;300;222.415;14.478,0;6,51
Verendrye Electric Coop Inc;ND;Cooperative;70;203.923;13.751,0;6,74
WAPA-- Western Area Power Administration;ND;Federal;6;6.526;89,6;1,37
Cedar-Knox Public Power Dist;NE;Political Subdivision;1.306;59.007;5.962,0;10,10
City of Fremont - (NE);NE;Municipal;547;291.263;24.924,0;8,56
City of Grand Island - (NE);NE;Municipal;95;307.838;24.458,0;7,95
City of Hastings - (NE);NE;Municipal;112;209.470;13.854,0;6,61
City of Lexington - (NE);NE;Municipal;8;137.438;9.206,5;6,70
City of North Platte;NE;Municipal;4;36.734;1.835,0;5,00
Cornhusker Public Power Dist;NE;Political Subdivision;2.421;227.580;18.355,2;8,07
Dawson Power District;NE;Political Subdivision;5.812;90.045;5.688,6;6,32
Elkhorn Rural Public Pwr Dist;NE;Political Subdivision;3.147;203.420;18.911,0;9,30
High West Energy, Inc;NE;Cooperative;1.154;85.389;10.145,0;11,88
Highline Electric Assn;NE;Cooperative;1.046;80.013;9.868,9;12,33
Lincoln Electric System;NE;Municipal;231;455.300;30.299,8;6,65
Loup River Public Power Dist;NE;Political Subdivision;588;657.046;42.783,9;6,51
Midwest Electric Member Corp;NE;Cooperative;2.161;247.754;25.918,2;10,46
Nebraska Public Power District;NE;Political Subdivision;60;2.059.935;83.366,0;4,05
Norris Public Power District;NE;Political Subdivision;2.823;626.197;41.567,3;6,64
Northeast Power;NE;Political Subdivision;698;33.571;3.354,0;9,99
Omaha Public Power District;NE;Political Subdivision;135;4.326.273;294.765,0;6,81
Perennial Public Power Dist;NE;Political Subdivision;2.803;268.546;19.456,0;7,24
Southern Public Power District;NE;Political Subdivision;9.710;799.033;51.289,6;6,42
Southwest Public Power Dist;NE;Political Subdivision;1.407;160.435;15.109,0;9,42
WAPA-- Western Area Power Administration;NE;Federal;2;4.503;30,4;0,68
Y-W Electric Assn Inc;NE;Cooperative;72;5.337;814,0;15,25
Liberty Utilities (Granite State Electri;NH;Investor Owned;134;12.370;2.539,3;20,53
New Hampshire Elec Coop Inc;NH;Cooperative;14;34.197;6.980,0;20,41
Public Service Co of NH;NH;Investor Owned;1.688;88.629;19.260,9;21,73
Unitil Energy Systems;NH;Investor Owned;38;52.853;9.867,0;18,67
Atlantic City Electric Co;NJ;Investor Owned;336;131.871;16.402,5;12,44
City of Vineland - (NJ);NJ;Municipal;60;241.389;29.311,1;12,14
Jersey Central Power & Lt Co;NJ;Investor Owned;1.223;245.540;33.531,9;13,66
Public Service Elec & Gas Co;NJ;Investor Owned;6.785;1.289.825;120.212,8;9,32
Rockland Electric Co;NJ;Investor Owned;12;7.623;1.220,7;16,01
Central New Mexico El Coop, Inc;NM;Cooperative;275;70.575;5.120,0;7,25
Central Valley Elec Coop, Inc;NM;Cooperative;4.282;700.156;71.547,8;10,22
City of Farmington - (NM);NM;Municipal;7;304.758;19.844,0;6,51
Continental Divide El Coop Inc;NM;Cooperative;5;321.363;20.028,0;6,23
El Paso Electric Co;NM;Investor Owned;9;75.064;6.350,0;8,46
Farmers Electric Coop, Inc - (NM);NM;Cooperative;1.531;179.260;18.302,5;10,21
Jemez Mountains Elec Coop, Inc;NM;Cooperative;9;20.931;2.361,9;11,28
Kit Carson Electric Coop, Inc;NM;Cooperative;10;18.166;2.169,2;11,94
Lea County Electric Coop, Inc;NM;Cooperative;13;286.103;21.091,0;7,37
Los Alamos County;NM;Municipal;1;382.965;24.303,7;6,35
Navajo Tribal Utility Authority;NM;State;142;1.809;475,0;26,26
Navopache Electric Coop, Inc;NM;Cooperative;11;416;67,0;16,11
Public Service Co of NM;NM;Investor Owned;196;2.324.194;130.110,9;5,60
Rio Grande Electric Coop, Inc;NM;Cooperative;16;427;52,4;12,27
Roosevelt County Elec Coop Inc;NM;Cooperative;1.561;101.264;12.726,0;12,57
Southwestern Electric Coop Inc - (NM);NM;Cooperative;513;286.680;22.234,0;7,76
