2022 Utility Bundled Retail Sales- Residential;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
Paragould Light & Water Comm;AR;Municipal;12.298;209.012;19.319,0;9,24
Petit Jean Electric Coop Corp;AR;Cooperative;18.663;226.982;30.765,0;13,55
South Central Ark El Coop, Inc;AR;Cooperative;9.271;113.703;15.927,0;14,01
Southwest Arkansas E C C;AR;Cooperative;24.515;374.771;47.002,1;12,54
Southwestern Electric Power Co;AR;Investor Owned;106.455;1.216.126;156.216,8;12,85
Woodruff Electric Coop Corp;AR;Cooperative;12.153;179.383;22.317,3;12,44
Ajo Improvement Co;AZ;Investor Owned;824;5.294;584,5;11,04
Ak-Chin Electric Utility Authority;AZ;State;319;5.059;483,8;9,56
Arizona Public Service Co;AZ;Investor Owned;1.202.975;14.756.798;2.046.110,7;13,87
City of Mesa - (AZ);AZ;Municipal;14.760;151.663;20.366,4;13,43
Dixie Escalante R E A, Inc;AZ;Cooperative;2.626;33.267;2.701,9;8,12
Electrical Dist No2 Pinal County;AZ;Political Subdivision;5.034;63.901;7.869,0;12,31
Electrical Dist No3 Pinal County;AZ;Political Subdivision;27.889;355.935;53.107,0;14,92
Garkane Energy Coop, Inc;AZ;Cooperative;1.265;24.432;2.459,0;10,06
Gila River Indian Utility Authority (GRICUA);AZ;Cooperative;2.606;39.422;5.551,2;14,08
Mohave Electric Cooperative, Inc.;AZ;Cooperative;39.670;460.816;57.029,0;12,38
Morenci Water and Electric;AZ;Investor Owned;2.305;19.475;1.621,9;8,33
Navajo Tribal Utility Authority;AZ;State;27.096;169.895;26.796,0;15,77
Navopache Electric Coop, Inc;AZ;Cooperative;39.137;279.490;40.877,0;14,63
Salt River Project;AZ;Political Subdivision;1.009.970;14.521.787;1.725.469,2;11,88
Spruce Finance;AZ;Behind the Meter;2.692;31.614;4.215,9;13,34
Sulphur Springs Valley E C Inc;AZ;Cooperative;45.350;392.791;63.818,8;16,25
SunPower Capital, LLC;AZ;Behind the Meter;11.172;122.056;17.437,9;14,29
Sunnova;AZ;Behind the Meter;3.466;47.521;5.077,5;10,68
Sunrun Inc.;AZ;Behind the Meter;36.005;464.157;64.613,4;13,92
Tesla Inc.;AZ;Behind the Meter;40.231;466.768;55.923,0;11,98
Trico Electric Cooperative Inc;AZ;Cooperative;49.544;545.157;77.842,1;14,28
Tucson Electric Power Co;AZ;Investor Owned;403.028;3.878.044;532.576,6;13,73
UNS Electric, Inc;AZ;Investor Owned;92.408;1.026.987;123.503,7;12,03
USBIA-San Carlos Project;AZ;Federal;11.267;118.935;13.845,0;11,64
Alameda Municipal Power;CA;Municipal;32.146;133.445;27.618,3;20,70
Bear Valley Electric Service;CA;Investor Owned;23.173;85.587;26.251,7;30,67
City & County of San Francisco;CA;Municipal;1.618;18.317;3.591,8;19,61
City of Anaheim - (CA);CA;Municipal;104.561;618.231;100.861,0;16,31
City of Azusa;CA;Municipal;14.986;90.894;15.417,0;16,96
City of Burbank Water and Power;CA;Municipal;46.290;274.745;43.974,0;16,01
City of Colton - (CA);CA;Municipal;17.291;110.736;18.232,0;16,46
City of Corona - (CA);CA;Municipal;1.288;8.653;1.369,2;15,82
City of Glendale - (CA);CA;Municipal;76.929;407.214;94.963,3;23,32
City of Lodi - (CA);CA;Municipal;23.232;167.427;36.060,0;21,54
City of Moreno Valley - (CA);CA;Municipal;6.859;48.753;15.352,1;31,49
City of Palo Alto - (CA);CA;Municipal;25.761;157.370;27.418,0;17,42
